Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Jeff McNeil,NYM,148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,0.326,15362
Freddie Freeman,LAD,159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,0.325,5361
Paul Goldschmidt,STL,151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317,9218
Luis Arraez,MIN,144,547,603,173,133,31,1,8,88,49,50,2,43,3,3,0,6,4,4,0.316,18568
Aaron Judge,NYY,157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.311,15640
Xander Bogaerts,BOS,150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307,12161
Yordan Alvarez,HOU,135,470,561,144,76,29,2,37,95,97,78,9,106,6,7,0,12,1,1,0.306,19556
Jose Abreu,CHW,157,601,679,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,0.304,15676
Andrew Benintendi,- - -,126,461,521,140,109,23,3,5,54,51,52,0,77,2,5,1,7,8,3,0.304,17901
Nathaniel Lowe,TEX,157,593,645,179,123,26,3,27,74,76,48,2,147,4,0,0,10,2,2,0.302,19566
Yonathan Daza,COL,113,372,408,112,87,21,2,2,56,34,26,0,58,4,5,1,12,0,3,0.301,15794
Harold Ramirez,TBR,120,403,435,121,91,24,0,6,46,58,19,1,72,9,4,0,5,3,5,0.3,14387
Jose Altuve,HOU,141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,0.3,5417
Steven Kwan,CLE,147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,0.298,24610
Manny Machado,SDP,150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.298,11493
Trea Turner,LAD,160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,0.298,16252
Andres Gimenez,CLE,146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,0.297,19950
Michael Harris II,ATL,114,414,441,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,0.297,25931
Yandy Diaz,TBR,137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,0.296,16578
Rafael Devers,BOS,141,555,614,164,94,42,1,27,84,88,50,11,114,6,3,0,14,3,1,0.295,17350
Nolan Arenado,STL,148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.293,9777
Starling Marte,NYM,118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.292,9241
Jose Iglesias,COL,118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,11,2,3,0.292,10231
Lourdes Gurriel Jr.,TOR,121,453,493,132,94,32,1,5,52,52,31,1,83,6,2,0,11,3,4,0.291,19238
Carlos Correa,MIN,136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291,14162
Bo Bichette,TOR,159,652,697,189,121,43,1,24,91,93,41,0,155,2,2,0,21,13,8,0.29,19612
Bryce Harper,PHI,99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,0.286,11579
Gio Urshela,MIN,144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285,10681
Alejandro Kirk,TOR,139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,0.285,22581
Luis Robert,CHW,98,380,401,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,0.284,20043
Julio Rodriguez,SEA,132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,0.284,23697
Mike Trout,LAA,119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,0.283,10155
Amed Rosario,CLE,153,637,670,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,0.283,15518
Brendan Donovan,STL,126,391,468,110,83,21,1,5,64,45,60,1,70,14,2,1,8,2,3,0.281,24679
Taylor Ward,LAA,135,495,564,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,0.281,17548
Nico Hoerner,CHC,135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,0.281,21479
Alex Verdugo,BOS,152,593,644,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,0.28,17027
Alec Bohm,PHI,152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,0.28,21618
Jose Ramirez,CLE,157,601,685,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,0.28,13510
Justin Turner,LAD,128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.278,5235
Dansby Swanson,ATL,162,640,696,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,0.277,18314
J.T. Realmuto,PHI,139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.276,11739
Gavin Lux,LAD,129,421,471,116,83,20,7,6,66,42,47,0,95,0,3,0,3,7,2,0.276,19955
Vladimir Guerrero Jr.,TOR,160,638,706,175,108,35,0,32,90,97,58,6,116,6,4,0,26,8,3,0.274,19611
